04/27/21 7:16:34: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:18:35: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:18:35: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:18:35: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:18:40: style.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:18:40: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/27/21 7:18:40: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
04/27/21 7:19:36: style.scss - Undefined variable $whitefff: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 14, at column 3
04/27/21 7:19:36: header.scss - Undefined variable $menu-bg: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 55, at column 5
04/27/21 7:19:36: footer.scss - Undefined variable $white: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/footer.scss on line 22, at column 5
